id,title,description,instructor,duration,rating,enrolledCount,imageUrl,category,level,price,isFree
course_39,Marketing Course 39: Master Guide,Learn marketing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Robert Taylor,16 hours,3.7,935,https://picsum.photos/400/300?random=39,Marketing,Intermediate,0.0,True
course_40,Writing Course 40: Master Guide,Learn writing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,8 hours,4.0,1914,https://picsum.photos/400/300?random=40,Writing,Intermediate,55.72,False
course_41,Data Science Course 41: Master Guide,Learn data science from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Michael Chen,12 hours,4.5,3324,https://picsum.photos/400/300?random=41,Data Science,Intermediate,52.24,False
course_42,Data Science Course 42: Advanced Guide,Learn data science from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,12 hours,3.7,3609,https://picsum.photos/400/300?random=42,Data Science,Beginner,102.28,False
course_43,Language Course 43: Complete Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. James Wilson,2 hours,3.9,3622,https://picsum.photos/400/300?random=43,Language,Beginner,189.77,False
course_44,Language Course 44: Advanced Guide,Learn language from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,10 hours,4.5,1070,https://picsum.photos/400/300?random=44,Language,Intermediate,139.43,False
course_45,Marketing Course 45: Advanced Guide,Learn marketing from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,6 hours,4.5,3155,https://picsum.photos/400/300?random=45,Marketing,Intermediate,0.08,False
course_46,Music Course 46: Essential Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. Robert Taylor,20 hours,4.4,2689,https://picsum.photos/400/300?random=46,Music,Advanced,102.23,False
course_47,Business Course 47: Master Guide,Learn business from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Prof. David Kim,12 hours,3.6,4272,https://picsum.photos/400/300?random=47,Business,Advanced,44.93,False
course_48,Programming Course 48: Essential Guide,Learn programming from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,4 hours,3.9,3942,https://picsum.photos/400/300?random=48,Programming,Beginner,115.13,False
course_49,Music Course 49: Master Guide,Learn music from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Maria Garcia,2 hours,4.1,1258,https://picsum.photos/400/300?random=49,Music,Intermediate,0.0,True
course_50,Health Course 50: Essential Guide,Learn health from scratch. This comprehensive course covers all essential topics and provides hands-on experience.,Dr. Emily Rodriguez,4 hours,3.6,2091,https://picsum.photos/400/300?random=50,Health,Intermediate,133.51,False
